Dimension,MSE_U,MSE_J
2,0.0012640710920095444,0.0018201894126832485
4,2.339916318305768e-05,0.012141179293394089
6,3.2473155442858115e-05,0.025305410847067833
8,0.0004934082389809191,4.231020927429199
